,unique.plot,leaf.type,site,species,Site.Sample.Order,Field.Location,full.id,site.rep,OVT.Variety,variety.rep,OVT.Var.Entry,plot.rep,OVT.plot,Lat.N,Lon.W,plantHt,temp,humid,leaftemp.diff,soilmoist,NPQt,Phi2,PhiNO,PhiNPQ,PAR,Chla,leafthick,Yield,Test.Weight,Ear.Height,Soil.Type,Soil.Texture,CEC,HM_perc,pH,P.soil,K.soil,Ca.soil,Mg.soil,Mn.soil,Zn.soil,Cu.soil,Sample_Date,Elev,Precip_90day,LT_90day,HT_90day,MAP,MLT,MHT,LAI.ratio.type,LAI.mean,LAI.sd,LAI.reps,LAI.CV,Notes
193,64E,Ear,GREVT,CRN,4,"right7 ,up5",64E-GREVT-CRN-V3-P2,1,66G25,3,723,2,207,35.42914,-77.50282,173.3,NA,NA,NA,7.58,NA,NA,NA,NA,NA,NA,NA,112.1187979,55.4,22,Lumbee sandy loam,Sandy Loam,8.5,3.19,5.5,534,347.99,71400,18604.8,7.52,6.76,1.48,7/29/2019,9,328.42,7.3,37.6,1234.12,10.5,22.8,same as measurement for tassel,4.988105763,0.934452425,4,18.73361291,"; Moderate drought stress, no disease pressure"
194,64T,Tassel,GREVT,CRN,4,"right7 ,up5",64T-GREVT-CRN-V3-P2,1,66G25,3,723,2,207,35.42914,-77.50282,173.3,38.05,37.73,-2.29,31.2,3.05,0.34,0.18,0.47,1607.65,65.8,0.75,112.1187979,55.4,22,Lumbee sandy loam,Sandy Loam,8.5,3.19,5.5,534,347.99,71400,18604.8,7.52,6.76,1.48,7/10/2019,9,253.53,6,37.6,1234.12,10.5,22.8,no external sensor,4.988105763,0.934452425,4,18.73361291,"; Moderate drought stress, no disease pressure"
195,65E,Ear,GREVT,CRN,5,"right9 ,up6",65E-GREVT-CRN-V1-P2,1,LC1586TC,1,685,2,216,35.42921,-77.50278,171.5,NA,NA,NA,7.13,NA,NA,NA,NA,NA,NA,NA,103.2047209,56.6,27,Lumbee sandy loam,Sandy Loam,8.5,3.19,5.5,534,347.99,71400,18604.8,7.52,6.76,1.48,7/29/2019,9,328.42,7.3,37.6,1234.12,10.5,22.8,same as measurement for tassel,4.414916268,0.835648247,4,18.92783908,"; Moderate drought stress, no disease pressure"
196,65T,Tassel,GREVT,CRN,5,"right9 ,up6",65T-GREVT-CRN-V1-P2,1,LC1586TC,1,685,2,216,35.42921,-77.50278,171.5,38.41,38.82,-2.29,6.61,3.83,0.34,0.16,0.5,1768.78,56.1,0.567,103.2047209,56.6,27,Lumbee sandy loam,Sandy Loam,8.5,3.19,5.5,534,347.99,71400,18604.8,7.52,6.76,1.48,7/10/2019,9,253.53,6,37.6,1234.12,10.5,22.8,no external sensor,4.414916268,0.835648247,4,18.92783908,"; Moderate drought stress, no disease pressure"
197,66E,Ear,GREVT,CRN,6,"right8 ,up8",66E-GREVT-CRN-V2-P2,1,LC1289,2,714,2,241,35.42938,-77.50278,163,NA,NA,NA,9.29,NA,NA,NA,NA,NA,NA,NA,105.1515546,53.2,23,Lumbee sandy loam,Sandy Loam,8.5,3.19,5.5,534,347.99,71400,18604.8,7.52,6.76,1.48,7/29/2019,9,328.42,7.3,37.6,1234.12,10.5,22.8,same as measurement for tassel,4.892286806,0.419476227,4,8.574236222,"; Moderate drought stress, no disease pressure"
198,66T,Tassel,GREVT,CRN,6,"right8 ,up8",66T-GREVT-CRN-V2-P2,1,LC1289,2,714,2,241,35.42938,-77.50278,163,38.91,38.37,-1.63,7.17,4.01,0.38,0.13,0.5,1797.89,52.93,0.807,105.1515546,53.2,23,Lumbee sandy loam,Sandy Loam,8.5,3.19,5.5,534,347.99,71400,18604.8,7.52,6.76,1.48,7/10/2019,9,253.53,6,37.6,1234.12,10.5,22.8,no external sensor,4.892286806,0.419476227,4,8.574236222,"; Moderate drought stress, no disease pressure"
199,67E,Ear,GREVT,CRN,7,"right7 ,up9",67E-GREVT-CRN-V1-P3,1,LC1586TC,1,685,3,307,35.42947,-77.50279,177.5,NA,NA,NA,9.31,NA,NA,NA,NA,NA,NA,NA,154.4108069,54.6,18,Lumbee sandy loam,Sandy Loam,8.5,3.19,5.5,534,347.99,71400,18604.8,7.52,6.76,1.48,7/29/2019,9,328.42,7.3,37.6,1234.12,10.5,22.8,same as measurement for tassel,5.83795801,1.705871802,4,29.22035067,"; Moderate drought stress, no disease pressure"
200,67T,Tassel,GREVT,CRN,7,"right7 ,up9",67T-GREVT-CRN-V1-P3,1,LC1586TC,1,685,3,307,35.42947,-77.50279,177.5,39.27,38.1,-2.02,7.39,4.23,0.38,0.12,0.5,1653.9,57.5,0.65,154.4108069,54.6,18,Lumbee sandy loam,Sandy Loam,8.5,3.19,5.5,534,347.99,71400,18604.8,7.52,6.76,1.48,7/10/2019,9,253.53,6,37.6,1234.12,10.5,22.8,no external sensor,5.83795801,1.705871802,4,29.22035067,"; Moderate drought stress, no disease pressure"
201,68E,Ear,GREVT,CRN,8,"right11 ,up10",68E-GREVT-CRN-V3-P3,1,66G25,3,723,3,314,35.42955,-77.50273,184.5,NA,NA,NA,10.81,NA,NA,NA,NA,NA,NA,NA,121.5538274,55.1,32,Lumbee sandy loam,Sandy Loam,8.5,3.19,5.5,534,347.99,71400,18604.8,7.52,6.76,1.48,7/29/2019,9,328.42,7.3,37.6,1234.12,10.5,22.8,same as measurement for tassel,4.643861594,0.871414587,4,18.76486992,"; Moderate drought stress, no disease pressure"
202,68T,Tassel,GREVT,CRN,8,"right11 ,up10",68T-GREVT-CRN-V3-P3,1,66G25,3,723,3,314,35.42955,-77.50273,184.5,39.63,36.53,-2.61,7.92,3.01,0.45,0.14,0.41,1284.6,59.59,0.817,121.5538274,55.1,32,Lumbee sandy loam,Sandy Loam,8.5,3.19,5.5,534,347.99,71400,18604.8,7.52,6.76,1.48,7/10/2019,9,253.53,6,37.6,1234.12,10.5,22.8,no external sensor,4.643861594,0.871414587,4,18.76486992,"; Moderate drought stress, no disease pressure"
203,69E,Ear,GREVT,CRN,9,"right6 ,up11",69E-GREVT-CRN-V2-P3,1,LC1289,2,714,3,330,35.42962,-77.50281,178.8,NA,NA,NA,8.36,NA,NA,NA,NA,NA,NA,NA,182.3004001,54.5,28,Lumbee sandy loam,Sandy Loam,8.5,3.19,5.5,534,347.99,71400,18604.8,7.52,6.76,1.48,7/29/2019,9,328.42,7.3,37.6,1234.12,10.5,22.8,same as measurement for tassel,5.290567479,2.057915054,4,38.89781318,"; Moderate drought stress, no disease pressure"
204,69T,Tassel,GREVT,CRN,9,"right6 ,up11",69T-GREVT-CRN-V2-P3,1,LC1289,2,714,3,330,35.42962,-77.50281,178.8,39.6,36.28,-2.8,8.05,3.82,0.36,0.14,0.49,1667.63,52.61,0.697,182.3004001,54.5,28,Lumbee sandy loam,Sandy Loam,8.5,3.19,5.5,534,347.99,71400,18604.8,7.52,6.76,1.48,7/10/2019,9,253.53,6,37.6,1234.12,10.5,22.8,no external sensor,5.290567479,2.057915054,4,38.89781318,"; Moderate drought stress, no disease pressure"
205,70E,Ear,GREVT,CRN,10,"right5 ,up13",70E-GREVT-CRN-V3-P4,1,66G25,3,723,4,405,35.42978,-77.50282,195,NA,NA,NA,8.84,NA,NA,NA,NA,NA,NA,NA,151.5733314,54.9,NA,Lumbee sandy loam,Sandy Loam,8.5,3.19,5.5,534,347.99,71400,18604.8,7.52,6.76,1.48,7/29/2019,9,328.42,7.3,37.6,1234.12,10.5,22.8,same as measurement for tassel,5.634274524,1.282059769,4,22.7546557,"; Moderate drought stress, no disease pressure"
206,70T,Tassel,GREVT,CRN,10,"right5 ,up13",70T-GREVT-CRN-V3-P4,1,66G25,3,723,4,405,35.42978,-77.50282,195,39.46,36.55,-2.71,7.94,4.19,0.36,0.13,0.51,1780.07,60.9,0.703,151.5733314,54.9,NA,Lumbee sandy loam,Sandy Loam,8.5,3.19,5.5,534,347.99,71400,18604.8,7.52,6.76,1.48,7/10/2019,9,253.53,6,37.6,1234.12,10.5,22.8,no external sensor,5.634274524,1.282059769,4,22.7546557,"; Moderate drought stress, no disease pressure"
207,71E,Ear,GREVT,CRN,11,"right10 ,up13",71E-GREVT-CRN-V1-P4,1,LC1586TC,1,685,4,410,35.42978,-77.50273,176,NA,NA,NA,10.7,NA,NA,NA,NA,NA,NA,NA,177.2133434,54.9,NA,Lumbee sandy loam,Sandy Loam,8.5,3.19,5.5,534,347.99,71400,18604.8,7.52,6.76,1.48,7/29/2019,9,328.42,7.3,37.6,1234.12,10.5,22.8,same as measurement for tassel,5.448789011,1.241003472,4,22.77576668,"; Moderate drought stress, no disease pressure"
208,71T,Tassel,GREVT,CRN,11,"right10 ,up13",71T-GREVT-CRN-V1-P4,1,LC1586TC,1,685,4,410,35.42978,-77.50273,176,40.05,36.28,-2.3,9.18,4.19,0.4,0.12,0.49,1723.63,59.58,0.5,177.2133434,54.9,NA,Lumbee sandy loam,Sandy Loam,8.5,3.19,5.5,534,347.99,71400,18604.8,7.52,6.76,1.48,7/10/2019,9,253.53,6,37.6,1234.12,10.5,22.8,no external sensor,5.448789011,1.241003472,4,22.77576668,"; Moderate drought stress, no disease pressure"
209,72E,Ear,GREVT,CRN,12,"right5 ,up15",72E-GREVT-CRN-V2-P4,1,LC1289,2,714,4,429,35.42995,-77.5028,188.5,NA,NA,NA,10.69,NA,NA,NA,NA,NA,NA,NA,184.5391557,54.6,NA,Lumbee sandy loam,Sandy Loam,8.5,3.19,5.5,534,347.99,71400,18604.8,7.52,6.76,1.48,7/29/2019,9,328.42,7.3,37.6,1234.12,10.5,22.8,same as measurement for tassel,6.433055024,1.178611307,4,18.3211756,"; Moderate drought stress, no disease pressure"
210,72T,Tassel,GREVT,CRN,12,"right5 ,up15",72T-GREVT-CRN-V2-P4,1,LC1289,2,714,4,429,35.42995,-77.5028,188.5,39.99,33.19,-2.04,7.58,3.86,0.38,0.14,0.48,1230.7,54.43,0.357,184.5391557,54.6,NA,Lumbee sandy loam,Sandy Loam,8.5,3.19,5.5,534,347.99,71400,18604.8,7.52,6.76,1.48,7/10/2019,9,253.53,6,37.6,1234.12,10.5,22.8,no external sensor,6.433055024,1.178611307,4,18.3211756,"; Moderate drought stress, no disease pressure"
211,85E,Ear,ROBVT,CRN,1,"right3 ,up2",85E-ROBVT-CRN-V1-P1,3,LC1586TC,1,685,1,122,34.79203,-79.40875,153,NA,NA,NA,4.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Wagram loamy sand,Loamy Sand,2.8,0.46,5,150,68.425,26880,3745.28,36.96,7.16,1.28,7/26/2019,64,291.2,7.5,38,1159.47,10.1,23.1,same as measurement for tassel,2.523592949,0.712523593,4,28.23448978,; Extremely high levels of drought stress
212,85T,Tassel,ROBVT,CRN,1,"right3 ,up2",85T-ROBVT-CRN-V1-P1,3,LC1586TC,1,685,1,122,34.79203,-79.40875,153,41.13,34.82,1,2.57,2.23,0.52,0.16,0.32,691.09,43.29,0.397,NA,NA,NA,Wagram loamy sand,Loamy Sand,2.8,0.46,5,150,68.425,26880,3745.28,36.96,7.16,1.28,7/15/2019,64,236.36,5.5,38,1159.47,10.1,23.1,no external sensor,2.523592949,0.712523593,4,28.23448978,; Extremely high levels of drought stress
213,86E,Ear,ROBVT,CRN,2,"right4 ,up4",86E-ROBVT-CRN-V3-P1,3,66G25,3,723,1,145,34.79203,-79.40854,167.8,NA,NA,NA,5.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Wagram loamy sand,Loamy Sand,2.8,0.46,5,150,68.425,26880,3745.28,36.96,7.16,1.28,7/26/2019,64,291.2,7.5,38,1159.47,10.1,23.1,same as measurement for tassel,2.78242361,0.353550311,4,12.7065595,; Extremely high levels of drought stress
214,86T,Tassel,ROBVT,CRN,2,"right4 ,up4",86T-ROBVT-CRN-V3-P1,3,66G25,3,723,1,145,34.79203,-79.40854,167.8,41.71,33.15,-0.07,3.26,5.42,0.36,0.12,0.51,682.06,37.93,0.383,NA,NA,NA,Wagram loamy sand,Loamy Sand,2.8,0.46,5,150,68.425,26880,3745.28,36.96,7.16,1.28,7/15/2019,64,236.36,5.5,38,1159.47,10.1,23.1,no external sensor,2.78242361,0.353550311,4,12.7065595,; Extremely high levels of drought stress
215,87T,Tassel,ROBVT,CRN,3,"right11 ,up4",87T-ROBVT-CRN-V2-P1,3,LC1289,2,714,1,138,34.79194,-79.40853,151,41.36,35.12,0.4,3.14,4.65,0.37,0.11,0.51,1364.39,37.67,0.403,NA,NA,NA,Wagram loamy sand,Loamy Sand,2.8,0.46,5,150,68.425,26880,3745.28,36.96,7.16,1.28,7/15/2019,64,236.36,5.5,38,1159.47,10.1,23.1,no external sensor,2.465421583,0.283199485,4,11.48685833,; Extremely high levels of drought stress
216,88E,Ear,ROBVT,CRN,4,"right2 ,up5",88E-ROBVT-CRN-V1-P2,3,LC1586TC,1,685,2,202,34.79206,-79.40845,147,NA,NA,NA,6.17,NA,NA,NA,NA,NA,NA,NA,77.84661549,58.6,NA,Wagram loamy sand,Loamy Sand,2.8,0.46,5,150,68.425,26880,3745.28,36.96,7.16,1.28,7/26/2019,64,291.2,7.5,38,1159.47,10.1,23.1,same as measurement for tassel,3.442261506,1.131728376,4,32.87746658,; Extremely high levels of drought stress
217,88T,Tassel,ROBVT,CRN,4,"right2 ,up5",88T-ROBVT-CRN-V1-P2,3,LC1586TC,1,685,2,202,34.79206,-79.40845,147,41.81,34.58,-0.1,3.61,4.19,0.38,0.12,0.5,1121.12,45.69,0.357,77.84661549,58.6,NA,Wagram loamy sand,Loamy Sand,2.8,0.46,5,150,68.425,26880,3745.28,36.96,7.16,1.28,7/15/2019,64,236.36,5.5,38,1159.47,10.1,23.1,no external sensor,3.442261506,1.131728376,4,32.87746658,; Extremely high levels of drought stress
218,89E,Ear,ROBVT,CRN,5,"right3 ,up6",89E-ROBVT-CRN-V3-P2,3,66G25,3,723,2,222,34.79205,-79.40833,156.8,NA,NA,NA,6.9,NA,NA,NA,NA,NA,NA,NA,89.76379168,56.8,NA,Wagram loamy sand,Loamy Sand,2.8,0.46,5,150,68.425,26880,3745.28,36.96,7.16,1.28,7/26/2019,64,291.2,7.5,38,1159.47,10.1,23.1,same as measurement for tassel,3.354544719,1.05230707,4,31.36959434,; Extremely high levels of drought stress
219,89T,Tassel,ROBVT,CRN,5,"right3 ,up6",89T-ROBVT-CRN-V3-P2,3,66G25,3,723,2,222,34.79205,-79.40833,156.8,44.66,27.61,-0.7,2.91,3.71,0.45,0.13,0.42,829.4,53.66,0.62,89.76379168,56.8,NA,Wagram loamy sand,Loamy Sand,2.8,0.46,5,150,68.425,26880,3745.28,36.96,7.16,1.28,7/15/2019,64,236.36,5.5,38,1159.47,10.1,23.1,no external sensor,3.354544719,1.05230707,4,31.36959434,; Extremely high levels of drought stress
220,90E,Ear,ROBVT,CRN,6,"right4 ,up6",90E-ROBVT-CRN-V2-P2,3,LC1289,2,714,2,221,34.79205,-79.40833,152,NA,NA,NA,6.71,NA,NA,NA,NA,NA,NA,NA,93.4709943,55.3,NA,Wagram loamy sand,Loamy Sand,2.8,0.46,5,150,68.425,26880,3745.28,36.96,7.16,1.28,7/26/2019,64,291.2,7.5,38,1159.47,10.1,23.1,same as measurement for tassel,3.397810378,0.554625362,4,16.32302277,; Extremely high levels of drought stress
221,90T,Tassel,ROBVT,CRN,6,"right4 ,up6",90T-ROBVT-CRN-V2-P2,3,LC1289,2,714,2,221,34.79205,-79.40833,152,43.32,30.18,-0.99,2.96,3.16,0.41,0.16,0.43,1229.62,45.06,0.467,93.4709943,55.3,NA,Wagram loamy sand,Loamy Sand,2.8,0.46,5,150,68.425,26880,3745.28,36.96,7.16,1.28,7/15/2019,64,236.36,5.5,38,1159.47,10.1,23.1,no external sensor,3.397810378,0.554625362,4,16.32302277,; Extremely high levels of drought stress
222,91E,Ear,ROBVT,CRN,7,"right1 ,up11",91E-ROBVT-CRN-V2-P3,3,LC1289,2,714,3,325,34.7921,-79.40785,168,NA,NA,NA,10.91,NA,NA,NA,NA,NA,NA,NA,121.7517805,55.2,NA,Wagram loamy sand,Loamy Sand,2.8,0.46,5,150,68.425,26880,3745.28,36.96,7.16,1.28,7/26/2019,64,291.2,7.5,38,1159.47,10.1,23.1,same as measurement for tassel,3.942631122,0.951054872,4,24.1223397,; Extremely high levels of drought stress
223,91T,Tassel,ROBVT,CRN,7,"right1 ,up11",91T-ROBVT-CRN-V2-P3,3,LC1289,2,714,3,325,34.7921,-79.40785,168,42.88,30.54,-1.33,5.54,1.84,0.5,0.18,0.32,944.62,54.07,0.33,121.7517805,55.2,NA,Wagram loamy sand,Loamy Sand,2.8,0.46,5,150,68.425,26880,3745.28,36.96,7.16,1.28,7/15/2019,64,236.36,5.5,38,1159.47,10.1,23.1,no external sensor,3.942631122,0.951054872,4,24.1223397,; Extremely high levels of drought stress
224,92E,Ear,ROBVT,CRN,8,"right3 ,up11",92E-ROBVT-CRN-V3-P3,3,66G25,3,723,3,327,34.79202,-79.40784,160.8,NA,NA,NA,9.71,NA,NA,NA,NA,NA,NA,NA,133.1117717,56.9,NA,Wagram loamy sand,Loamy Sand,2.8,0.46,5,150,68.425,26880,3745.28,36.96,7.16,1.28,7/26/2019,64,291.2,7.5,38,1159.47,10.1,23.1,same as measurement for tassel,3.814257347,1.955024679,4,51.25570986,; Extremely high levels of drought stress
225,92T,Tassel,ROBVT,CRN,8,"right3 ,up11",92T-ROBVT-CRN-V3-P3,3,66G25,3,723,3,327,34.79202,-79.40784,160.8,42.63,31.52,-1.15,4.55,4.17,0.32,0.17,0.5,1567.87,34.68,0.51,133.1117717,56.9,NA,Wagram loamy sand,Loamy Sand,2.8,0.46,5,150,68.425,26880,3745.28,36.96,7.16,1.28,7/15/2019,64,236.36,5.5,38,1159.47,10.1,23.1,no external sensor,3.814257347,1.955024679,4,51.25570986,; Extremely high levels of drought stress
226,93E,Ear,ROBVT,CRN,9,"right6 ,up12",93E-ROBVT-CRN-V1-P3,3,LC1586TC,1,685,3,343,34.79203,-79.40776,175,NA,NA,NA,10.29,NA,NA,NA,NA,NA,NA,NA,137.0243654,57.9,NA,Wagram loamy sand,Loamy Sand,2.8,0.46,5,150,68.425,26880,3745.28,36.96,7.16,1.28,7/26/2019,64,291.2,7.5,38,1159.47,10.1,23.1,same as measurement for tassel,4.604133928,0.194157865,4,4.217033386,; Extremely high levels of drought stress
227,93T,Tassel,ROBVT,CRN,9,"right6 ,up12",93T-ROBVT-CRN-V1-P3,3,LC1586TC,1,685,3,343,34.79203,-79.40776,175,42.31,33.03,-0.49,5.15,4.49,0.34,0.14,0.53,1397.25,49.42,0.53,137.0243654,57.9,NA,Wagram loamy sand,Loamy Sand,2.8,0.46,5,150,68.425,26880,3745.28,36.96,7.16,1.28,7/15/2019,64,236.36,5.5,38,1159.47,10.1,23.1,no external sensor,4.604133928,0.194157865,4,4.217033386,; Extremely high levels of drought stress
228,94E,Ear,ROBVT,CRN,10,"right1 ,up13",94E-ROBVT-CRN-V2-P4,3,LC1289,2,714,4,401,34.7921,-79.40766,172.3,NA,NA,NA,14.02,NA,NA,NA,NA,NA,NA,NA,166.1800338,55.5,NA,Wagram loamy sand,Loamy Sand,2.8,0.46,5,150,68.425,26880,3745.28,36.96,7.16,1.28,7/26/2019,64,291.2,7.5,38,1159.47,10.1,23.1,same as measurement for tassel,4.651606692,1.196425243,4,25.72068798,; Extremely high levels of drought stress
229,94T,Tassel,ROBVT,CRN,10,"right1 ,up13",94T-ROBVT-CRN-V2-P4,3,LC1289,2,714,4,401,34.7921,-79.40766,172.3,42.33,32.68,-0.36,5.74,4.22,0.36,0.13,0.52,1580.88,54.56,0.49,166.1800338,55.5,NA,Wagram loamy sand,Loamy Sand,2.8,0.46,5,150,68.425,26880,3745.28,36.96,7.16,1.28,7/15/2019,64,236.36,5.5,38,1159.47,10.1,23.1,no external sensor,4.651606692,1.196425243,4,25.72068798,; Extremely high levels of drought stress
230,95E,Ear,ROBVT,CRN,11,"right2 ,up16",95E-ROBVT-CRN-V3-P4,3,66G25,3,723,4,447,34.7921,-79.40737,187.3,NA,NA,NA,11.84,NA,NA,NA,NA,NA,NA,NA,132.908369,56.8,NA,Wagram loamy sand,Loamy Sand,2.8,0.46,5,150,68.425,26880,3745.28,36.96,7.16,1.28,7/26/2019,64,291.2,7.5,38,1159.47,10.1,23.1,same as measurement for tassel,4.608689394,1.453547771,4,31.53928692,; Extremely high levels of drought stress
231,95T,Tassel,ROBVT,CRN,11,"right2 ,up16",95T-ROBVT-CRN-V3-P4,3,66G25,3,723,4,447,34.7921,-79.40737,187.3,42.37,32.24,-1.36,6.06,2.4,0.43,0.17,0.4,1144.97,57.62,0.63,132.908369,56.8,NA,Wagram loamy sand,Loamy Sand,2.8,0.46,5,150,68.425,26880,3745.28,36.96,7.16,1.28,7/15/2019,64,236.36,5.5,38,1159.47,10.1,23.1,no external sensor,4.608689394,1.453547771,4,31.53928692,; Extremely high levels of drought stress
232,96E,Ear,ROBVT,CRN,12,"right8 ,up16",96E-ROBVT-CRN-V1-P4,3,LC1586TC,1,685,4,441,34.79203,-79.40733,173.5,NA,NA,NA,14.94,NA,NA,NA,NA,NA,NA,NA,121.4318741,56.2,NA,Wagram loamy sand,Loamy Sand,2.8,0.46,5,150,68.425,26880,3745.28,36.96,7.16,1.28,7/26/2019,64,291.2,7.5,38,1159.47,10.1,23.1,same as measurement for tassel,4.438550348,0.587976711,4,13.24704385,"end of this plot is a little weird,part of row 2 missing, a planter issue; Extremely high levels of drought stress"
233,96T,Tassel,ROBVT,CRN,12,"right8 ,up16",96T-ROBVT-CRN-V1-P4,3,LC1586TC,1,685,4,441,34.79203,-79.40733,173.5,42.41,30.84,-1.98,8.4,3.71,0.35,0.17,0.48,1739.04,65.92,0.497,121.4318741,56.2,NA,Wagram loamy sand,Loamy Sand,2.8,0.46,5,150,68.425,26880,3745.28,36.96,7.16,1.28,7/15/2019,64,236.36,5.5,38,1159.47,10.1,23.1,no external sensor,4.438550348,0.587976711,4,13.24704385,"end of this plot is a little weird,part of row 2 missing, a planter issue; Extremely high levels of drought stress"
